epoch,train_loss,val_loss,train_acc,val_acc,train_f1,val_f1,train_precision,val_precision,train_recall,val_recall
1,0.5015030999978384,0.41647760942578316,0.7117437722419929,0.8367346938775511,0.7412140575079872,0.8974358974358975,0.7581699346405228,0.813953488372093,0.725,1.0
2,0.2995371851656172,0.39657874032855034,0.8790035587188612,0.8571428571428571,0.8950617283950617,0.9041095890410958,0.8841463414634146,0.868421052631579,0.90625,0.9428571428571428
3,0.1748769771721628,0.45633643865585327,0.9501779359430605,0.7244897959183674,0.95625,0.7874015748031497,0.95625,0.8771929824561403,0.95625,0.7142857142857143
4,0.11272799803151025,0.42347241938114166,0.9608540925266904,0.7857142857142857,0.9652996845425867,0.8396946564885496,0.9745222929936306,0.9016393442622951,0.95625,0.7857142857142857
5,0.07630206892887752,0.2522151358425617,0.9822064056939501,0.8775510204081632,0.9843260188087775,0.9130434782608695,0.9874213836477987,0.9264705882352942,0.98125,0.9
6,0.054614166211750775,0.17933539301156998,0.9822064056939501,0.9285714285714286,0.9843260188087775,0.950354609929078,0.9874213836477987,0.9436619718309859,0.98125,0.9571428571428572
7,0.04753016121685505,0.172811649274081,0.9857651245551602,0.9489795918367347,0.9875,0.9645390070921985,0.9875,0.9577464788732394,0.9875,0.9714285714285714
8,0.04156665736809373,0.2129337100777775,0.9857651245551602,0.9285714285714286,0.9874213836477987,0.951048951048951,0.9936708860759493,0.9315068493150684,0.98125,0.9714285714285714
9,0.03683317949374517,0.2056553314323537,0.9928825622775801,0.9285714285714286,0.9937888198757764,0.951048951048951,0.9876543209876543,0.9315068493150684,1.0,0.9714285714285714
10,0.028901496902108192,0.1857515105366474,0.9893238434163701,0.9387755102040817,0.9905956112852664,0.9583333333333334,0.9937106918238994,0.9324324324324325,0.9875,0.9857142857142858
11,0.023344328833950892,0.20716788639401784,0.99644128113879,0.9387755102040817,0.9968652037617555,0.9583333333333334,1.0,0.9324324324324325,0.99375,0.9857142857142858
12,0.01824862163306938,0.221716553758597,0.99644128113879,0.9183673469387755,0.9968652037617555,0.9452054794520548,1.0,0.9078947368421053,0.99375,0.9857142857142858
13,0.017624228675332334,0.21152060479289503,0.99644128113879,0.9183673469387755,0.9968847352024922,0.9452054794520548,0.9937888198757764,0.9078947368421053,1.0,0.9857142857142858
14,0.01436340583798786,0.23175770107627613,0.9928825622775801,0.9183673469387755,0.9937888198757764,0.9452054794520548,0.9876543209876543,0.9078947368421053,1.0,0.9857142857142858
15,0.01231956024033328,0.24844481612672098,0.99644128113879,0.8979591836734694,0.9968847352024922,0.9324324324324325,0.9937888198757764,0.8846153846153846,1.0,0.9857142857142858
